AgeBracket,AgeBracketStart,AgeBracketEnd,3W_M_r0,3W_M_r5,3W_F_r0,3W_F_r5,8W_M_r0,8W_M_r5,8W_F_r0,8W_F_r5,1W_M_r0,1W_M_r5,1W_F_r0,1W_F_r5
0_1,0,1,0.0334,0.0379,0.0321,0.0365,0.0243,0.028,0.0233,0.027,0.0399,0.0499,0.0381,0.043
1_4,1,4,0.0973,0.1089,0.0953,0.1071,0.0808,0.092,0.0784,0.0897,0.1066,0.1302,0.105,0.117
5_9,5,9,0.1079,0.118,0.1053,0.1157,0.0942,0.1048,0.0912,0.1021,0.1147,0.1339,0.1124,0.1225
10_14,10,14,0.1031,0.1099,0.1,0.1072,0.0916,0.0993,0.0884,0.0964,0.1085,0.1205,0.1055,0.1122
15_19,15,19,0.0982,0.1022,0.0946,0.0989,0.0888,0.094,0.0854,0.0909,0.1024,0.1081,0.0987,0.1023
20_24,20,24,0.0918,0.0931,0.0881,0.0898,0.085,0.0877,0.0817,0.0848,0.0944,0.0949,0.0906,0.0916
25_29,25,29,0.0843,0.0834,0.081,0.0805,0.0805,0.0811,0.0775,0.0785,0.0852,0.0814,0.0818,0.0807
30_34,30,34,0.0765,0.0738,0.0736,0.0714,0.0757,0.0743,0.073,0.0721,0.0757,0.0689,0.0729,0.0701
35_39,35,39,0.0682,0.0642,0.0662,0.0627,0.0704,0.0675,0.0683,0.0658,0.066,0.0571,0.0642,0.0602
40_44,40,44,0.0596,0.0547,0.0591,0.0545,0.0646,0.0603,0.0635,0.0596,0.056,0.0461,0.0559,0.0511
45_49,45,49,0.0507,0.0454,0.0522,0.047,0.0582,0.053,0.0586,0.0537,0.0462,0.0362,0.0482,0.043
50_54,50,54,0.0418,0.0365,0.0452,0.0397,0.0512,0.0454,0.0532,0.0475,0.0367,0.0273,0.0406,0.0354
55_59,55,59,0.0328,0.028,0.0375,0.0321,0.0434,0.0376,0.0469,0.0409,0.0276,0.0195,0.0326,0.0277
60_64,60,64,0.0241,0.02,0.0291,0.0243,0.0348,0.0294,0.0393,0.0334,0.0192,0.0129,0.0241,0.02
65_69,65,69,0.0159,0.0129,0.0203,0.0165,0.0258,0.0212,0.0306,0.0253,0.0118,0.0076,0.0158,0.0127
70_74,70,74,0.009,0.0071,0.0123,0.0098,0.0169,0.0136,0.0213,0.0172,0.0061,0.0037,0.0088,0.0069
75_79,75,79,0.004,0.0031,0.0058,0.0045,0.0091,0.0071,0.0123,0.0097,0.0024,0.0014,0.0037,0.0028
80_84,80,84,0.0011,0.0009,0.0019,0.0014,0.0036,0.0027,0.0054,0.0041,0.0006,0.0003,0.001,0.0007
85_89,85,,0.0002,0.0002,0.0004,0.0003,0.001,0.0008,0.0018,0.0014,0.0001,0,0.0002,0.0001
